date;trial;code;genotype;time;dead;sum;alive;%alive;percentage
02.02.2014;1;1;CG7431;0;0;7;7;1;1
02.02.2014;1;1;CG7431;16;0;7;7;1;1
02.02.2014;1;1;CG7431;19;0;7;7;1;1
02.02.2014;1;1;CG7431;22;0;7;7;1;1
02.02.2014;1;1;CG7431;25;0;7;7;1;1
02.02.2014;1;1;CG7431;40;2;7;5;0,714285714;0,714285714
02.02.2014;1;1;CG7431;43;4;7;3;0,428571429;0,428571429
02.02.2014;1;1;CG7431;46;5;7;2;0,285714286;0,285714286
02.02.2014;1;1;CG7431;49;6;7;1;0,142857143;0,142857143
02.02.2014;1;1;CG7431;64;7;7;0;0;0
02.02.2014;1;1;CG7431;70;7;7;0;0;0
02.02.2014;1;1;CG7431;73;7;7;0;0;0
03.02.2014;2;1;CG7431;0;0;9;9;1;1
03.02.2014;2;1;CG7431;16;0;9;9;1;1
03.02.2014;2;1;CG7431;19;0;9;9;1;1
03.02.2014;2;1;CG7431;22;0;9;9;1;1
03.02.2014;2;1;CG7431;25;0;9;9;1;1
03.02.2014;2;1;CG7431;40;5;9;4;0,444444444;0,444444444
03.02.2014;2;1;CG7431;43;5;9;4;0,444444444;0,444444444
03.02.2014;2;1;CG7431;46;8;9;1;0,111111111;0,111111111
03.02.2014;2;1;CG7431;49;8;9;1;0,111111111;0,111111111
03.02.2014;2;1;CG7431;64;9;9;0;0;0
03.02.2014;2;1;CG7431;70;9;9;0;0;0
03.02.2014;2;1;CG7431;73;9;9;0;0;0
04.02.2014;3;1;CG7431;0;0;10;10;1;1
04.02.2014;3;1;CG7431;16;0;10;10;1;1
04.02.2014;3;1;CG7431;19;0;10;10;1;1
04.02.2014;3;1;CG7431;22;0;10;10;1;1
04.02.2014;3;1;CG7431;25;0;10;10;1;1
04.02.2014;3;1;CG7431;40;1;10;9;0,9;0,9
04.02.2014;3;1;CG7431;43;5;10;5;0,5;0,5
04.02.2014;3;1;CG7431;46;6;10;4;0,4;0,4
04.02.2014;3;1;CG7431;49;9;10;1;0,1;0,1
04.02.2014;3;1;CG7431;64;10;10;0;0;0
04.02.2014;3;1;CG7431;70;10;10;0;0;0
04.02.2014;3;1;CG7431;73;10;10;0;0;0
05.02.2014;4;1;CG7431;0;0;16;16;1;1
05.02.2014;4;1;CG7431;16;0;16;16;1;1
05.02.2014;4;1;CG7431;19;0;16;16;1;1
05.02.2014;4;1;CG7431;22;0;16;16;1;1
05.02.2014;4;1;CG7431;25;0;16;16;1;1
05.02.2014;4;1;CG7431;40;2;16;14;0,875;0,875
05.02.2014;4;1;CG7431;43;9;16;7;0,4375;0,4375
05.02.2014;4;1;CG7431;46;11;16;5;0,3125;0,3125
05.02.2014;4;1;CG7431;49;14;16;2;0,125;0,125
05.02.2014;4;1;CG7431;64;16;16;0;0;0
05.02.2014;4;1;CG7431;70;16;16;0;0;0
05.02.2014;4;1;CG7431;73;16;16;0;0;0
06.02.2014;5;1;CG7431;0;0;15;15;1;1
06.02.2014;5;1;CG7431;16;0;15;15;1;1
06.02.2014;5;1;CG7431;19;0;15;15;1;1
06.02.2014;5;1;CG7431;22;0;15;15;1;1
06.02.2014;5;1;CG7431;25;0;15;15;1;1
06.02.2014;5;1;CG7431;40;3;15;12;0,8;0,8
06.02.2014;5;1;CG7431;43;5;15;10;0,666666667;0,666666667
06.02.2014;5;1;CG7431;46;9;15;6;0,4;0,4
06.02.2014;5;1;CG7431;49;12;15;3;0,2;0,2
06.02.2014;5;1;CG7431;64;15;15;0;0;0
06.02.2014;5;1;CG7431;70;15;15;0;0;0
06.02.2014;5;1;CG7431;73;15;15;0;0;0
06.02.2014;6;1;CG7431;0;0;15;15;1;1
06.02.2014;6;1;CG7431;16;0;15;15;1;1
06.02.2014;6;1;CG7431;19;0;15;15;1;1
06.02.2014;6;1;CG7431;22;0;15;15;1;1
06.02.2014;6;1;CG7431;25;0;15;15;1;1
06.02.2014;6;1;CG7431;40;5;15;10;0,666666667;0,666666667
06.02.2014;6;1;CG7431;43;5;15;10;0,666666667;0,666666667
06.02.2014;6;1;CG7431;46;6;15;9;0,6;0,6
06.02.2014;6;1;CG7431;49;8;15;7;0,466666667;0,466666667
06.02.2014;6;1;CG7431;64;14;15;1;0,066666667;0,066666667
06.02.2014;6;1;CG7431;67;15;15;0;0;0
