date;receptor;code;sex;0;0,1;0,3;0,6;1;3;10;30;SCORE;on mouth;remarks
30.05.2013;CS;d2;f;0;0;0;0;0;0;0;1;1;1;in 0.3%,0.6%,1%,3%,10% a bit extension
30.05.2013;CS;d2;f;0;0;0;0;0;0;1;1;2;1;
30.05.2013;CS;d2;f;0;0;0;0;0;0;0;0;0;1;
30.05.2013;CS;d2;f;0;0;0;0;0;0;1;1;2;1;
30.05.2013;CS;d2;f;0;1;1;1;1;1;1;1;7;1;
31.05.2013;CS;d2;f;0;0;0;0;0;0;1;1;2;1;
31.05.2013;CS;d2;f;0;0;0;0;0;0;0;0;0;1;
03.06.2013;CS;d2;f;0;0;0;1;1;1;1;1;5;1;
18.06.2013;CS;d2;f;0;0;0;0;0;0;0;1;1;1;
18.06.2013;CS;d2;f;0;0;1;1;1;1;1;1;6;1;
19.06.2013;CS;d2;f;0;0;0;0;0;1;1;1;3;1;
19.06.2013;CS;d2;f;0;0;0;0;0;0;0;0;0;1;
19.06.2013;CS;d2;f;0;0;0;0;1;1;1;1;4;1;
20.06.2013;CS;d2;f;0;0;0;0;0;1;1;1;3;1;in 1% a bit extension
20.06.2013;CS;d2;f;0;1;1;1;1;1;1;1;7;1;
20.06.2013;CS;d2;f;0;0;0;0;0;0;0;0;0;1;
24.06.2013;CS;d2;f;0;0;0;0;0;1;0;1;2;1;
24.06.2013;CS;d2;f;0;0;0;0;0;1;1;1;3;1;
24.06.2013;CS;d2;f;0;0;0;1;0;1;0;1;3;1;
24.06.2013;CS;d2;f;0;0;0;1;1;1;1;1;5;1;
24.06.2013;CS;d2;f;0;0;0;0;0;0;1;1;2;1;
25.06.2013;CS;d2;f;0;0;0;0;0;1;1;1;3;1;
25.06.2013;CS;d2;f;0;0;0;0;0;0;1;1;2;1;in 3% a bit extension
25.06.2013;CS;d2;f;0;0;0;0;0;0;0;0;0;1;
25.06.2013;CS;d2;f;0;0;0;0;0;1;1;1;3;1;
25.06.2013;CS;d2;f;0;0;0;0;0;0;1;1;2;1;
25.06.2013;CS;d2;f;0;1;1;1;1;1;1;1;7;1;
26.06.2013;CS;d2;f;0;0;0;0;0;0;0;1;1;1;
26.06.2013;CS;d2;f;0;0;0;0;1;1;0;1;3;1;
30.05.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;1;1;1;
30.05.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;1;1;1;
30.05.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;0;0;1;
30.05.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;
31.05.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;1;1;1;3;1;
31.05.2013;delta3.22octﬂ2R;d4;f;0;0;1;1;0;0;1;1;4;1;
03.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;1;1;1;3;1;
03.06.2013;delta3.22octﬂ2R;d4;f;0;0;1;1;0;0;1;1;4;1;in 0%,1% a bit extension
18.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;
18.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;
18.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;
18.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;1;1;1;1;4;1;
19.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;1;1;1;1;4;1;
19.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;
19.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;1;1;1;1;1;5;1;
19.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;1;1;1;3;1;
20.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;in 0.3% extension before
20.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;1;1;2;1;in 0%,0.3%,0.6%,3% a bit extension
20.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;0;0;1;
20.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;0;0;1;
24.06.2013;delta3.22octﬂ2R;d4;f;0;1;0;1;0;1;1;1;5;1;
24.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;0;0;1;in 0.1%,30% a bit extension
25.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;1;1;1;3;1;in 1% a bit extension
25.06.2013;delta3.22octﬂ2R;d4;f;0;1;1;1;1;1;1;1;7;1;
25.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;1;1;1;
25.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;1;1;1;3;1;
25.06.2013;delta3.22octﬂ2R;d4;f;0;0;0;0;0;0;0;0;0;1;
