date;receptor;sex;code;0;0,1;0,3;0,6;1;3;10;30;SCORE;on mouth;remarks
27.09.2013;CG7431f05682;f;x1;0;0;0;0,5;0;1;1;1;3,5;1;
27.09.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;1;2;1;
29.09.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;1;2;1;
29.09.2013;CG7431f05682;f;x1;0;0;1;0;1;0,5;0;1;3,5;1;in 1% one PER
29.09.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;in 1% a bit extension
29.09.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;
29.09.2013;CG7431f05682;f;x1;0;1;0;1;1;1;1;1;6;1;in 0.3% a bit extension
29.09.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;1;2;1;
29.09.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;
29.09.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;1;2;1;
29.09.2013;CG7431f05682;f;x1;0;0;0;0;1;1;1;1;4;1;
29.09.2013;CG7431f05682;f;x1;0;0;0;1;1;1;1;1;5;1;in 0.1%,0.3% a bit extension
03.10.2013;CG7431f05682;f;x1;0;0;1;0;1;1;1;1;5;1;in 0.1% a bit extension
03.10.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;0;1;1;
03.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;in 0.6%,1% a bit extension
03.10.2013;CG7431f05682;f;x1;0;1;1;1;1;1;1;1;7;1;
03.10.2013;CG7431f05682;f;x1;0;0;0;0;0;0;0;0;0;1;
03.10.2013;CG7431f05682;f;x1;0;0;1;1;1;1;1;1;6;1;in 0.1% a bit extension
04.10.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;0;1;1;in 30% a bit extension
04.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;0;1;2;1;in 10% a bit extension
08.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;
08.10.2013;CG7431f05682;f;x1;0;0;0;0;0;0,5;1;0;1,5;1;in 30% a bit extension,in 3% one PER
08.10.2013;CG7431f05682;f;x1;0;0;1;1;1;1;1;1;6;1;in 0.3% one PER,in 0.1% a bit extension
08.10.2013;CG7431f05682;f;x1;0;0;0;0;1;1;1;1;4;1;in 0.6% a bit extension
24.10.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;1;2;1;
24.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;
25.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;
25.10.2013;CG7431f05682;f;x1;0;1;1;1;1;1;1;1;7;1;
25.10.2013;CG7431f05682;f;x1;0;0;0;0;0;0;1;1;2;1;
25.10.2013;CG7431f05682;f;x1;0;0;0;0;1;1;1;1;4;1;
30.10.2013;CG7431f05682;f;x1;0;0;0;0;1;1;1;1;4;1;
30.10.2013;CG7431f05682;f;x1;0;1;1;1;1;1;1;1;7;1;in 0.3% one PER
30.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;
30.10.2013;CG7431f05682;f;x1;0;0;1;1;1;1;1;1;6;1;in 10% extension before
30.10.2013;CG7431f05682;f;x1;0;0;1;0;0;1;1;1;4;1;in 1% a bit extension
31.10.2013;CG7431f05682;f;x1;0;0;0;1;1;1;1;1;5;1;
31.10.2013;CG7431f05682;f;x1;0;0;0;1;1;1;1;1;5;1;in 30% one PER
31.10.2013;CG7431f05682;f;x1;0;0;0;1;1;1;1;1;5;1;
31.10.2013;CG7431f05682;f;x1;0;0;0;0;0;1;1;1;3;1;in 3% one PER
27.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;1;1;1;3;1;
27.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;0;1;1;1;
27.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;0;0;0;1;
28.09.2013;TyRII-CG7431d124;f;x2;0;1;1;1;1;1;1;1;7;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;1;1;2;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;1;1;0;1;1;1;1;6;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;1;1;1;3;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;1;1;1;1;1;1;6;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;1;1;1;1;4;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;0;1;1;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;1;1;1;1;4;1;
29.09.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;0;1;1;1;
03.10.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;1;1;1;3;1;in 0.6% a bit extension
03.10.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;1;1;2;1;
03.10.2013;TyRII-CG7431d124;f;x2;0;1;1;1;1;1;1;1;7;1;
03.10.2013;TyRII-CG7431d124;f;x2;0;0;1;1;1;1;1;1;6;1;in 0.3% one PER
03.10.2013;TyRII-CG7431d124;f;x2;0;1;1;1;1;1;1;1;7;1;
03.10.2013;TyRII-CG7431d124;f;x2;0;1;1;1;1;1;1;1;7;1;
04.10.2013;TyRII-CG7431d124;f;x2;0;0;1;1;1;1;1;1;6;1;in 0.3% one PER
08.10.2013;TyRII-CG7431d124;f;x2;0;0;1;1;1;1;1;1;6;1;in 0.6% one PER
08.10.2013;TyRII-CG7431d124;f;x2;0;0;0;0;0;0;0;1;1;1;
