date;fill;group;starvation;absorbance1;absorbance2;absorbance3;absorbance4;absorbance5;mean_noextr;normalized_starvedminusfeddivbystarvedplusfed;quotient
26.02.2013;w+;7w_starved;yes;0,005;0,013;0,013;0,008;0,001;0,008666667;#BEZUG!;0,801526718
28.02.2013;w+;7w_starved;yes;0,041;0,038;0,051;0,036;0,05;0,043;#BEZUG!;0,326370757
03.03.2013;w+;7w_starved;yes;0,05;0,046;0,042;0,052;0,039;0,046;#BEZUG!;0,326829268
04.03.2013;w+;7w_starved;yes;0,018;0,017;0,017;0,029;0,013;0,017333333;#BEZUG!;0,502392344
13.03.2013;w+;7w_starved;yes;0,088;0,007;0,017;0,006;0,014;0,012666667;#BEZUG!;0,639810427
14.03.2013;w+;7w_starved;yes;0,053;0,084;0,045;0,032;0,057;0,051666667;#BEZUG!;0,124293785
14.03.2013;w+;7w_starved;yes;0,046;0,078;0,043;0,047;0,053;0,048666667;#BEZUG!;0,165714286
21.03.2013;w+;7w_starved;yes;0,052;0,046;0,045;0,047;0,052;0,048333333;#BEZUG!;0,260204082
27.03.2013;w+;7w_starved;yes;0,031;0,023;0,022;0,018;0,028;0,024333333;#BEZUG!;0,301435407
16.04.2013;w+;7w_starved;yes;0,044;0,03;0,028;0,025;0,035;0,031;#BEZUG!;0,284615385
18.04.2013;w+;7w_starved;yes;0,041;0,039;0,042;0,03;0,035;0,038333333;#BEZUG!;0,292307692
18.04.2013;w+;7w_starved;yes;0,049;0,043;0,052;0,039;0,051;0,047666667;#BEZUG!;0,307506053
26.02.2013;tbh;8tbh_starved;yes;0,005;0,086;0,092;0,09;0,084;0,086666667;#BEZUG!;0,118644068
28.02.2013;tbh;8tbh_starved;yes;0,04;0,044;0,055;0,044;0,057;0,047666667;#BEZUG!;0,310843373
03.03.2013;tbh;8tbh_starved;yes;0,023;0,02;0,024;0,03;0,02;0,022333333;#BEZUG!;0,545762712
04.03.2013;tbh;8tbh_starved;yes;0,071;0,07;0,072;0,078;0,075;0,072666667;#BEZUG!;-0,060827251
13.03.2013;tbh;8tbh_starved;yes;0,057;0,062;0,044;0,045;0,047;0,049666667;#BEZUG!;0,167597765
14.03.2013;tbh;8tbh_starved;yes;0,038;0,069;0,035;0,048;0,039;0,041666667;#BEZUG!;-0,17370892
14.03.2013;tbh;8tbh_starved;yes;0,034;0,068;0,031;0,048;0,037;0,039666667;#BEZUG!;0,115241636
21.03.2013;tbh;8tbh_starved;yes;0,082;0,07;0,067;0,065;0,075;0,070666667;#BEZUG!;0,086206897
27.03.2013;tbh;8tbh_starved;yes;0,035;0,027;0,029;0,028;0,029;0,028666667;#BEZUG!;0,422818792
16.04.2013;tbh;8tbh_starved;yes;0,021;0,018;0,013;0,016;0,019;0,017666667;#BEZUG!;0,47
18.04.2013;tbh;8tbh_starved;yes;0,065;0,058;0,056;0,047;0,054;0,056;#BEZUG!;0,145038168
18.04.2013;tbh;8tbh_starved;yes;0,07;0,071;0,068;0,059;0,064;0,067333333;#BEZUG!;0,110132159
