date,fill,group,starvation,absorbance1,absorbance2,absorbance3,absorbance4,absorbance5,mean,std,ser,comments,mean_noextr,trehalose_concentration_400µl,trehalose_400µlsolution,trehalose_100µlsolution,trehalose_05µlhaemolymph,trehalose_1µlhaemolymph,normalized_to_fed,normalized,,,mean,std,ser,
02/07/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,see,data.csv,,trehalose_standard,0.0609333333,0.0342630348,0.0098908862
02/07/2013,calibration,2glucose_standard,,0.091,0.095,0.092,0.092,0.083,0.0906,0.0040298883,0.0018022209,,0.0916666667,,,,,,,,,trehalose_half,0.0667916667,0.0300833045,0.008684302,
02/07/2013,calibration,3trehalose_standard,,0.093,0.08,0.092,0.09,0.092,0.0894,0.0048,0.0021466253,,0.0913333333,,,,,,,,,,,,,
02/07/2013,calibration,4trehalose_half,,0.051,0.052,0.052,0.054,0.049,0.0516,0.0016248077,0.0007266361,,0.0516666667,,,,,,,,,,,,,
02/07/2013,w+,5w_fed,no,0.062,0.065,0.071,0.068,0.058,0.0648,0.0045343136,0.0020278067,,0.065,0.0076280336,0.0010444304,0.001305538,0.0026110759,0.0052221518,,,02/07/2013,8.5212,,,,
02/07/2013,tbh,6tbh_fed,no,0.065,0.069,0.062,0.066,0.055,0.0634,0.0047581509,0.0021279098,,0.0643333333,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,
02/17/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,trehalose_half,0.0621166667,0.0307273449,0.0088702204,
02/17/2013,calibration,2glucose_standard,,0.096,0.091,0.087,0.09,0.083,0.0894,0.0043174066,0.0019308029,,0.0893333333,,,,,,,,,glucose_standard,0.0564583333,0.036360822,0.0128554919,
02/17/2013,calibration,3trehalose_standard,,0.091,0.082,0.081,0.083,0.086,0.0846,0.003611094,0.0016149303,,0.0836666667,,,,,,,,,,,,,
02/17/2013,calibration,4trehalose_half,,0.043,0.036,0.041,0.038,0.034,0.0384,0.0032619013,0.0014587666,,0.0383333333,,,,,,,,,,,,,
02/17/2013,w+,5w_fed,no,0.085,0.083,0.086,0.084,0.077,0.083,0.0031622777,0.0014142136,,0.085,0.0113654597,0.0015561587,0.0019451984,0.0038903969,0.0077807937,,,02/17/2013,7.4788,,,,
02/17/2013,tbh,6tbh_fed,no,0.072,0.061,0.065,0.056,0.068,0.0644,0.005535341,0.0024754798,,0.0646666667,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,,
02/17/2013,tbh,tbh_starved,,0.026,0.028,0.026,0.023,0.022,0.025,0.0021908902,0.0009797959,28h,starvation,,,,,,,,,,,,,
02/17/2013,w+,w_starved,,0.02,0.024,0.012,0.021,0.019,0.0192,0.0039698866,0.0017753873,28h,starvation,,,,,,,,,,,,,
02/26/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,glucose_standard,0.06598,0.0316391466,0.0100051767,
02/26/2013,calibration,2glucose_standard,,0.092,0.09,0.096,0.09,0.075,0.0886,0.0071442284,0.0031949961,,0.0906666667,,,,,,,,,tbh_starved,0.0541944444,0.0281284943,0.0081199969,
02/26/2013,calibration,3trehalose_standard,,0.081,0.088,0.083,0.083,0.079,0.0828,0.0029933259,0.001338656,,0.0823333333,,,,,,,,,,,,,
02/26/2013,calibration,4trehalose_half,,0.046,0.047,0.049,0.045,0.04,0.0454,0.0030066593,0.0013446189,,0.046,,,,,,,,,,,,,
02/26/2013,w+,5w_fed,no,0.08,0.082,0.084,0.074,0.072,0.0784,0.0046303348,0.0020707487,,0.0786666667,0.0102689955,0.0014060309,0.0017575386,0.0035150771,0.0070301543,,,02/26/2013,7.6606,,,,
02/26/2013,tbh,6tbh_fed,no,0.104,0.117,0.112,0.109,0.109,0.1102,0.0042614552,0.0019057807,,0.11,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
02/26/2013,w+,7w_starved,yes,0.005,0.013,0.013,0.008,0.001,0.008,0.00464758,0.002078461,,0.0086666667,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
02/26/2013,tbh,8tbh_starved,yes,0.005,0.086,0.092,0.09,0.084,0.0714,0.0333202641,0.0149012751,,0.0866666667,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,,,,,,,
02/28/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,tbh_starved,#DIV/0!,#DIV/0!,#DIV/0!,
02/28/2013,calibration,2glucose_standard,,0.07,0.069,0.079,0.064,0.075,0.0714,0.0051613952,0.0023082461,,0.0535,,,,,,,,,tbh_fed,0.0690238095,0.0298853535,0.0079871967,
02/28/2013,calibration,3trehalose_standard,,0.1,0.104,0.108,0.105,0.102,0.1038,0.002712932,0.0012132601,,0.1036666667,,,,,,,,,,,,,
02/28/2013,calibration,4trehalose_half,,0.053,0.047,0.059,0.048,0.05,0.0514,0.0043174066,0.0019308029,,0.0503333333,,,,,,,,,,,,,
02/28/2013,w+,5w_fed,no,0.088,0.074,0.088,0.078,0.09,0.0836,0.006374951,0.0028509647,,0.0846666667,0.0090362196,0.0012372392,0.001546549,0.003093098,0.0061861959,,,02/28/2013,9.3697,,,,
02/28/2013,tbh,6tbh_fed,no,0.084,0.089,0.102,0.08,0.099,0.0908,0.0084711274,0.0037884034,,0.0906666667,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
02/28/2013,w+,7w_starved,yes,0.041,0.038,0.051,0.036,0.05,0.0432,0.0061773781,0.0027626075,,0.043,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0.4708029197,,,,,,,
02/28/2013,tbh,8tbh_starved,yes,0.04,0.044,0.055,0.044,0.057,0.048,0.0067230945,0.0030066593,,0.0476666667,#REF!,#REF!,#REF!,#REF!,#REF!,0.7409326425,,,,,,,
03/03/2013,calibration,1blank,,0,0,0,0,0,0,0,0,,0,0,,,,,,,,tbh_fed,0.0529571429,0.0308531247,0.0082458444,
03/03/2013,calibration,2glucose_standard,,0.105,0.101,0.105,0.11,0.097,0.1036,0.0043634848,0.0019514097,,0.1036666667,,,,,,,,,w_starved,0.0523888889,0.0267307679,0.007716508,
03/03/2013,calibration,3trehalose_standard,,0.08,0.086,0.093,0.098,0.083,0.088,0.0066030296,0.0029529646,,0.0873333333,,,,,,,,,,,,,
03/03/2013,calibration,4trehalose_half,,0.042,0.046,0.044,0.049,0.056,0.0474,0.0048826222,0.0021835751,,0.0463333333,,,,,,,,,,,,,
03/03/2013,w+,5w_fed,no,0.087,0.098,0.085,0.098,0.087,0.091,0.0057619441,0.0025768197,,0.0906666667,0.0112820002,0.0015447315,0.0019309143,0.0038618287,0.0077236574,,,03/03/2013,8.0364,,,,
03/03/2013,tbh,6tbh_fed,no,0.077,0.074,0.077,0.079,0.066,0.0746,0.004586938,0.002051341,,0.076,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,,,,,,,,
03/03/2013,w+,7w_starved,yes,0.05,0.046,0.042,0.052,0.039,0.0458,0.0048332184,0.002161481,,0.046,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,0.5411764706,,,,,,,
03/03/2013,tbh,8tbh_starved,yes,0.023,0.02,0.024,0.03,0.02,0.0234,0.0036660606,0.0016395121,,0.0223333333,#REF!,#REF!,#REF!,#REF!,#REF!,#DIV/0!,,,,,,,
