trial,genotype,gender,sum,time,alive,dead
1,TBH,female,35,0,35,0
2,TBH,female,33,0,33,0
3,TBH,female,46,0,46,0
4,TBH,female,37,0,37,0
5,TBH,female,34,0,34,0
6,TBH,female,28,0,28,0
7,TBH,female,38,0,38,0
8,TBH,female,38,0,38,0
9,TBH,female,39,0,39,0
10,TBH,female,37,0,37,0
11,TBH,female,32,0,32,0
12,TBH,female,47,0,47,0
1,TBH,female,35,17,35,0
2,TBH,female,33,17,33,0
3,TBH,female,46,17,46,0
4,TBH,female,37,17,37,0
5,TBH,female,34,17,34,0
6,TBH,female,28,17,28,0
7,TBH,female,38,17,38,0
8,TBH,female,38,17,38,0
9,TBH,female,39,17,39,0
10,TBH,female,37,17,37,0
11,TBH,female,32,17,32,0
12,TBH,female,47,17,47,0
1,TBH,female,35,20,35,0
2,TBH,female,33,20,33,0
3,TBH,female,46,20,46,0
4,TBH,female,37,20,37,0
5,TBH,female,34,20,34,0
6,TBH,female,28,20,28,0
7,TBH,female,38,20,38,0
8,TBH,female,38,20,38,0
9,TBH,female,39,20,38,1
10,TBH,female,37,20,37,0
11,TBH,female,32,20,32,0
12,TBH,female,47,20,47,0
1,TBH,female,35,23,35,0
2,TBH,female,33,23,33,0
3,TBH,female,46,23,46,0
4,TBH,female,37,23,36,1
5,TBH,female,34,23,34,0
6,TBH,female,28,23,28,0
7,TBH,female,38,23,38,0
8,TBH,female,38,23,38,0
9,TBH,female,39,23,35,4
10,TBH,female,37,23,36,1
11,TBH,female,32,23,31,1
12,TBH,female,47,23,44,3
1,TBH,female,35,25,35,0
2,TBH,female,33,25,33,0
3,TBH,female,46,25,46,0
4,TBH,female,37,25,36,1
5,TBH,female,34,25,34,0
6,TBH,female,28,25,28,0
7,TBH,female,38,25,38,0
8,TBH,female,38,25,38,0
9,TBH,female,39,25,32,7
10,TBH,female,37,25,34,3
11,TBH,female,32,25,27,5
12,TBH,female,47,25,37,10
1,TBH,female,35,39,33,2
2,TBH,female,33,39,32,1
3,TBH,female,46,39,46,0
4,TBH,female,37,39,34,3
5,TBH,female,34,39,33,1
6,TBH,female,28,39,27,1
7,TBH,female,38,39,37,1
8,TBH,female,38,39,38,0
9,TBH,female,39,39,3,36
10,TBH,female,37,39,0,37
11,TBH,female,32,39,6,26
12,TBH,female,47,39,9,38
1,TBH,female,35,42,27,8
2,TBH,female,33,42,27,6
3,TBH,female,46,42,46,0
4,TBH,female,37,42,33,4
5,TBH,female,34,42,32,2
6,TBH,female,28,42,27,1
7,TBH,female,38,42,34,4
8,TBH,female,38,42,35,3
9,TBH,female,39,42,2,37
10,TBH,female,37,42,0,37
11,TBH,female,32,42,4,28
12,TBH,female,47,42,3,44
1,TBH,female,35,45,22,13
2,TBH,female,33,45,24,9
3,TBH,female,46,45,46,0
4,TBH,female,37,45,32,5
5,TBH,female,34,45,31,3
6,TBH,female,28,45,27,1
7,TBH,female,38,45,31,7
8,TBH,female,38,45,32,6
9,TBH,female,39,45,2,37
10,TBH,female,37,45,0,37
11,TBH,female,32,45,2,30
12,TBH,female,47,45,1,46
1,TBH,female,35,47,19,16
2,TBH,female,33,47,21,12
3,TBH,female,46,47,44,2
4,TBH,female,37,47,32,5
5,TBH,female,34,47,30,4
6,TBH,female,28,47,27,1
7,TBH,female,38,47,27,11
8,TBH,female,38,47,30,8
9,TBH,female,39,47,2,37
10,TBH,female,37,47,0,37
11,TBH,female,32,47,1,31
12,TBH,female,47,47,0,47
1,TBH,female,35,49,18,17
2,TBH,female,33,49,17,16
3,TBH,female,46,49,44,2
4,TBH,female,37,49,30,7
5,TBH,female,34,49,28,6
6,TBH,female,28,49,27,1
7,TBH,female,38,49,26,12
8,TBH,female,38,49,26,12
9,TBH,female,39,49,2,37
10,TBH,female,37,49,0,37
11,TBH,female,32,49,0,32
12,TBH,female,47,49,0,47
1,TBH,female,35,63,5,30
2,TBH,female,33,63,2,31
3,TBH,female,46,63,35,11
4,TBH,female,37,63,14,23
5,TBH,female,34,63,17,17
6,TBH,female,28,63,22,6
7,TBH,female,38,63,8,30
8,TBH,female,38,63,11,27
9,TBH,female,39,63,0,39
10,TBH,female,37,63,0,37
11,TBH,female,32,63,0,32
12,TBH,female,47,63,0,47
1,TBH,female,35,66,2,33
2,TBH,female,33,66,1,32
3,TBH,female,46,66,29,17
4,TBH,female,37,66,10,27
5,TBH,female,34,66,13,21
6,TBH,female,28,66,21,7
7,TBH,female,38,66,4,34
8,TBH,female,38,66,8,30
9,TBH,female,39,66,0,39
10,TBH,female,37,66,0,37
11,TBH,female,32,66,0,32
12,TBH,female,47,66,0,47
1,TBH,female,35,70,1,34
2,TBH,female,33,70,0,33
3,TBH,female,46,70,24,22
4,TBH,female,37,70,9,28
5,TBH,female,34,70,10,24
6,TBH,female,28,70,14,14
7,TBH,female,38,70,2,36
8,TBH,female,38,70,3,35
9,TBH,female,39,70,0,39
10,TBH,female,37,70,0,37
11,TBH,female,32,70,0,32
12,TBH,female,47,70,0,47
1,TBH,female,35,73,NA,NA
2,TBH,female,33,73,NA,NA
3,TBH,female,46,73,13,33
4,TBH,female,37,73,5,32
5,TBH,female,34,73,9,25
6,TBH,female,28,73,12,16
7,TBH,female,38,73,1,37
8,TBH,female,38,73,3,35
9,TBH,female,39,73,0,39
10,TBH,female,37,73,0,37
11,TBH,female,32,73,0,32
12,TBH,female,47,73,0,47
1,TBH,female,35,88,NA,NA
2,TBH,female,33,88,NA,NA
3,TBH,female,46,88,NA,NA
4,TBH,female,37,88,NA,NA
5,TBH,female,34,88,NA,NA
6,TBH,female,28,88,NA,NA
7,TBH,female,38,88,0,38
8,TBH,female,38,88,0,38
9,TBH,female,39,88,0,39
10,TBH,female,37,88,0,37
11,TBH,female,32,88,0,32
12,TBH,female,47,88,0,47
13,TBH,female,37,0,37,0
14,TBH,female,42,0,42,0
15,TBH,female,39,0,39,0
