date;fly;genotype;starvation;sensillum;group;spikes
Nov 13;1;tbh;fed;L3;tbhfed;45
Nov 13;2;tbh;fed;L3;tbhfed;60
Nov 13;3;tbh;fed;L3;tbhfed;74
Nov 13;6;tbh;fed;L3;tbhfed;52
Nov 13;8;tbh;fed;L3;tbhfed;65
Nov 13;9;tbh;fed;L3;tbhfed;48
Nov 13;11;tbh;fed;L3;tbhfed;59
Nov 13;12;tbh;fed;L3;tbhfed;43
Nov 13;13;tbh;fed;L3;tbhfed;41
Nov 13;14;tbh;fed;L3;tbhfed;33
Nov 13;1;tbh;fed;L5;tbhfed;61
Nov 13;2;tbh;fed;L5;tbhfed;76
Nov 13;3;tbh;fed;L5;tbhfed;71
Nov 13;4;tbh;fed;L5;tbhfed;47
Nov 13;6;tbh;fed;L5;tbhfed;53
Nov 13;8;tbh;fed;L5;tbhfed;51
Nov 13;9;tbh;fed;L5;tbhfed;48
Nov 13;10;tbh;fed;L5;tbhfed;35
Nov 13;11;tbh;fed;L5;tbhfed;58
Nov 13;12;tbh;fed;L5;tbhfed;32
Nov 13;13;tbh;fed;L5;tbhfed;46
Nov 13;14;tbh;fed;L5;tbhfed;38
Nov 13;3;tbh;fed;L7;tbhfed;73
Nov 13;4;tbh;fed;L7;tbhfed;46
Nov 13;5;tbh;fed;L7;tbhfed;69
Nov 13;6;tbh;fed;L7;tbhfed;57
Nov 13;7;tbh;fed;L7;tbhfed;43
Nov 13;9;tbh;fed;L7;tbhfed;73
Nov 13;10;tbh;fed;L7;tbhfed;35
Nov 13;11;tbh;fed;L7;tbhfed;58
Nov 13;12;tbh;fed;L7;tbhfed;37
Nov 13;13;tbh;fed;L7;tbhfed;48
Nov 13;14;tbh;fed;L7;tbhfed;31
Nov 13;1;tbh;starved;L3;tbhstarved;47
Nov 13;2;tbh;starved;L3;tbhstarved;22
Nov 13;3;tbh;starved;L3;tbhstarved;19
Nov 13;4;tbh;starved;L3;tbhstarved;33
Nov 13;6;tbh;starved;L3;tbhstarved;20
Nov 13;7;tbh;starved;L3;tbhstarved;36
Nov 13;9;tbh;starved;L3;tbhstarved;41
Nov 13;10;tbh;starved;L3;tbhstarved;39
Nov 13;11;tbh;starved;L3;tbhstarved;32
Nov 13;12;tbh;starved;L3;tbhstarved;57
Nov 13;13;tbh;starved;L3;tbhstarved;38
Nov 13;14;tbh;starved;L3;tbhstarved;43
Nov 13;1;tbh;starved;L5;tbhstarved;48
Nov 13;3;tbh;starved;L5;tbhstarved;18
Nov 13;4;tbh;starved;L5;tbhstarved;34
Nov 13;6;tbh;starved;L5;tbhstarved;46
Nov 13;7;tbh;starved;L5;tbhstarved;30
Nov 13;8;tbh;starved;L5;tbhstarved;52
Nov 13;10;tbh;starved;L5;tbhstarved;34
Nov 13;11;tbh;starved;L5;tbhstarved;29
Nov 13;12;tbh;starved;L5;tbhstarved;54
Nov 13;13;tbh;starved;L5;tbhstarved;55
Nov 13;14;tbh;starved;L5;tbhstarved;44
Nov 13;1;tbh;starved;L7;tbhstarved;37
Nov 13;2;tbh;starved;L7;tbhstarved;24
Nov 13;4;tbh;starved;L7;tbhstarved;43
Nov 13;5;tbh;starved;L7;tbhstarved;24
Nov 13;7;tbh;starved;L7;tbhstarved;41
Nov 13;8;tbh;starved;L7;tbhstarved;54
Nov 13;9;tbh;starved;L7;tbhstarved;65
Nov 13;10;tbh;starved;L7;tbhstarved;37
Nov 13;12;tbh;starved;L7;tbhstarved;48
Nov 13;13;tbh;starved;L7;tbhstarved;17
Nov 13;14;tbh;starved;L7;tbhstarved;41
May 14;1;tbh;fed;L3;tbhfed;27
May 14;2;tbh;fed;L3;tbhfed;24
May 14;3;tbh;fed;L3;tbhfed;47
May 14;4;tbh;fed;L3;tbhfed;44
May 14;5;tbh;fed;L3;tbhfed;46
May 14;6;tbh;fed;L3;tbhfed;20
May 14;7;tbh;fed;L3;tbhfed;54
May 14;8;tbh;fed;L3;tbhfed;59
May 14;9;tbh;fed;L3;tbhfed;58
May 14;10;tbh;fed;L3;tbhfed;31
May 14;11;tbh;fed;L3;tbhfed;15
May 14;1;tbh;fed;L5;tbhfed;26
May 14;2;tbh;fed;L5;tbhfed;36
May 14;3;tbh;fed;L5;tbhfed;64
May 14;4;tbh;fed;L5;tbhfed;50
May 14;5;tbh;fed;L5;tbhfed;73
May 14;6;tbh;fed;L5;tbhfed;26
