date;trial;group;receptor;sex;concentration;response;0;0,1;0,3;0,6;1;3;10;30;SCORE;on mouth
03.07.2013;1;honoka;honoka;f;0;0;0;0;0;1;1;0;1;1;4;1
03.07.2013;2;honoka;honoka;f;0;0;0;0;0;0;1;1;1;1;4;1
03.07.2013;3;honoka;honoka;f;0;0;0;0;0;0;1;1;1;1;4;1
03.07.2013;4;honoka;honoka;f;0;0;0;0;0;1;1;1;1;1;5;1
03.07.2013;5;honoka;honoka;f;0;0;0;0;0;0;1;1;1;1;4;1
03.07.2013;6;honoka;honoka;f;0;0;0;0;0;1;1;1;1;1;5;1
03.07.2013;7;honoka;honoka;f;0;0;0;0;0;1;1;1;1;1;5;1
03.07.2013;8;honoka;honoka;f;0;0;0;1;1;1;1;1;1;1;7;1
03.07.2013;9;honoka;honoka;f;0;0;0;0;0;0;1;1;1;1;4;1
03.07.2013;10;honoka;honoka;f;0;0;0;1;1;1;1;1;1;1;7;1
03.07.2013;11;honoka;honoka;f;0;0;0;1;0;1;1;0;1;1;5;1
04.07.2013;12;honoka;honoka;f;0;0;0;0;1;0;0;1;1;1;4;1
04.07.2013;13;honoka;honoka;f;0;0;0;0;0;0;0;1;1;1;3;1
04.07.2013;14;honoka;honoka;f;0;0;0;0;0;1;1;1;1;1;5;1
04.07.2013;15;honoka;honoka;f;0;0;0;0;1;1;1;1;1;1;6;1
05.07.2013;16;honoka;honoka;f;0;0;0;0;1;0;0;1;1;1;4;1
05.07.2013;17;honoka;honoka;f;0;0;0;0;0;1;0;1;1;1;4;1
05.07.2013;18;honoka;honoka;f;0;0;0;1;1;1;1;1;1;1;7;1
05.07.2013;19;honoka;honoka;f;0;0;0;0;0;0;0;0;0;1;1;1
05.07.2013;20;honoka;honoka;f;0;0;0;0;0;0;0;0;1;1;2;1
05.07.2013;21;honoka;honoka;f;0;0;0;0;0;0;0;1;0;1;2;1
08.07.2013;22;honoka;honoka;f;0;0;0;1;1;1;1;1;1;1;7;1
08.07.2013;23;honoka;honoka;f;0;0;0;1;1;1;1;1;1;1;7;1
